,State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Customer service calls,Churn,TOTAL MINUTES,TOTAL CALLS,TOTAL CHARGES
0,KS,128,415,False,True,25,1,False,717.2,303,75.56
1,OH,107,415,False,True,26,1,False,625.2,332,59.24000000000001
2,NJ,137,415,False,False,0,0,False,539.4000000000001,333,62.290000000000006
3,OH,84,408,True,False,0,2,False,564.8,255,66.8
4,OK,75,415,True,False,0,3,False,512.0,359,52.089999999999996
5,AL,118,510,True,False,0,0,False,654.1999999999999,323,67.61
6,MA,121,510,False,True,24,3,False,786.8000000000001,321,78.31
7,MO,147,415,True,False,0,0,False,479.00000000000006,275,46.900000000000006
8,LA,117,408,False,False,0,1,False,760.6000000000001,271,73.32
9,WV,141,415,True,True,37,0,False,818.2,297,80.53999999999999
10,IN,65,415,False,False,0,4,True,579.1000000000001,337,54.2
11,RI,74,415,False,False,0,0,False,556.2,374,57.08
12,IA,168,408,False,False,0,1,False,386.0,297,40.190000000000005
13,MT,95,510,False,False,0,3,False,608.8,283,59.64
14,IA,62,415,False,False,0,4,False,644.0,251,59.309999999999995
15,NY,161,415,False,False,0,4,True,816.7,301,92.29
16,ID,85,408,False,True,27,1,False,580.3999999999999,308,65.02
17,VT,93,510,False,False,0,3,False,546.6,349,58.989999999999995
18,VA,76,510,False,True,33,1,False,578.2,244,60.50000000000001
19,TX,73,415,False,False,0,1,False,589.7,254,63.9
20,FL,147,415,False,False,0,0,False,614.1999999999999,347,59.0
21,CO,77,408,False,False,0,5,True,447.59999999999997,280,36.019999999999996
22,AZ,130,415,False,False,0,0,False,447.20000000000005,308,48.06
23,SC,111,415,False,False,0,2,False,445.0,316,41.05
24,VA,132,510,False,False,0,0,False,573.5999999999999,275,48.08
25,NE,174,415,False,False,0,3,False,667.6,308,60.15
26,WY,57,408,False,True,39,0,False,596.3,345,63.24
27,MT,54,408,False,False,0,3,False,406.59999999999997,245,44.61
28,MO,20,415,False,False,0,0,False,636.0,301,64.12
29,HI,49,510,False,False,0,1,False,524.1999999999999,317,49.6
30,IL,142,415,False,False,0,2,False,486.2,312,41.14
31,NH,75,510,False,False,0,1,False,684.0999999999999,315,69.42999999999999
32,LA,172,408,False,False,0,3,False,549.1,324,55.29
33,AZ,12,408,False,False,0,1,True,794.0,330,79.67999999999999
34,OK,57,408,False,True,25,0,False,593.5999999999999,289,58.49
35,GA,72,415,False,True,37,3,False,604.8000000000001,259,66.72
36,AK,36,408,False,True,30,0,False,452.6,323,48.42
37,MA,78,415,False,False,0,1,False,592.3,293,54.2
38,AK,136,415,True,True,33,3,False,503.7,318,58.03
39,NJ,149,408,False,False,0,1,False,611.6,303,58.44
40,GA,98,408,False,False,0,3,False,490.3,324,46.63999999999999
41,MD,135,408,True,True,41,0,True,513.8,285,56.199999999999996
42,AR,34,510,False,False,0,2,False,728.5,262,61.92999999999999
43,ID,160,415,False,False,0,3,False,438.8,283,39.15
44,WI,64,510,False,False,0,1,False,648.6,274,58.260000000000005
45,OR,59,408,False,True,28,2,False,505.5,310,48.3
46,MI,65,415,False,False,0,3,False,521.8,365,59.36000000000001
47,DE,142,408,False,False,0,2,False,571.1999999999999,339,56.129999999999995
48,ID,119,415,False,False,0,5,True,542.3999999999999,325,55.53
49,WY,97,415,False,True,24,1,False,432.0,275,47.25
50,IA,52,408,False,False,0,3,False,706.3,296,68.32
51,IN,60,408,False,False,0,1,False,687.5,304,68.49000000000001
52,VA,10,408,False,False,0,2,False,670.4999999999999,241,63.620000000000005
53,UT,96,415,False,False,0,2,False,665.5,257,62.76
54,WY,87,415,False,False,0,5,True,584.3000000000001,329,56.14
55,IN,81,408,False,False,0,1,False,705.2,253,65.94
56,CO,141,415,False,False,0,1,False,455.7,290,45.370000000000005
57,CO,121,408,False,True,30,3,True,460.7,286,49.849999999999994
58,WI,68,415,False,False,0,3,False,537.2,340,55.36000000000001
59,OK,125,408,False,False,0,1,False,608.0,332,65.82
60,ID,174,408,False,False,0,1,False,540.0,249,57.67999999999999
61,CA,116,415,False,True,34,2,False,624.7,334,71.41999999999999
62,MN,74,510,False,True,33,2,False,592.4,282,64.0
63,SD,149,408,False,True,28,3,False,646.6,212,62.029999999999994
64,NC,38,408,False,False,0,2,False,461.3,307,45.51
65,WA,40,415,False,True,41,2,False,537.9000000000001,269,50.89000000000001
66,WY,43,415,True,False,0,0,False,631.4,280,70.46
67,MN,113,408,True,False,0,0,False,469.20000000000005,359,46.88
68,UT,126,408,False,False,0,1,False,589.8,211,63.42999999999999
69,TX,150,510,False,False,0,4,True,510.40000000000003,314,55.199999999999996
